date,retweets_count
2020-01-01,98
2020-01-02,142
2020-01-03,200
2020-01-05,90
2020-01-06,80
2020-01-07,600
2020-01-08,334
2020-01-09,136
2020-01-10,50
2020-01-11,156
2020-01-12,480
2020-01-13,140
2020-01-14,228
2020-01-15,676
2020-01-16,860
2020-01-17,902
2020-01-18,344
2020-01-19,890
2020-01-20,322
2020-01-21,228
2020-01-22,878
2020-01-23,530
2020-01-24,250
2020-01-25,596
2020-01-26,1398
2020-01-27,552
2020-01-28,588
2020-01-29,1468
2020-01-30,706
2020-01-31,490
2020-02-01,196
2020-02-03,276
2020-02-04,1364
2020-02-05,620
2020-02-06,520
2020-02-07,290
2020-02-08,4368
2020-02-09,232
2020-02-10,158
2020-02-11,246
2020-02-12,1574
2020-02-13,1762
2020-02-14,1116
2020-02-15,116
2020-02-16,16
2020-02-17,2518
2020-02-18,398
2020-02-19,1064
2020-02-20,378
2020-02-21,344
2020-02-22,442
2020-02-24,390
2020-02-25,856
2020-02-26,264
2020-02-27,980
2020-02-28,208
2020-02-29,2
2020-03-01,10
2020-03-02,1106
2020-03-03,260
2020-03-04,0
2020-03-05,474
2020-03-06,452
2020-03-07,396
2020-03-08,210
2020-03-09,250
2020-03-10,918
2020-03-11,182
2020-03-12,370
2020-03-13,450
2020-03-14,596
2020-03-15,400
2020-03-16,556
2020-03-17,326
2020-03-18,1106
2020-03-19,1352
2020-03-20,876
2020-03-22,16
2020-03-23,1296
2020-03-24,838
2020-03-25,1382
2020-03-26,1528
2020-03-27,2042
2020-03-28,1280
2020-03-29,242
2020-03-30,900
2020-03-31,1876
2020-04-01,310
2020-04-02,652
2020-04-03,1034
2020-04-04,26
2020-04-05,102
2020-04-06,2234
2020-04-07,364
2020-04-08,812
2020-04-09,198
2020-04-10,348
2020-04-11,176
2020-04-12,180
2020-04-13,52
2020-04-14,210
2020-04-15,892
2020-04-16,526
2020-04-17,582
2020-04-18,170
2020-04-19,400
2020-04-20,1548
2020-04-21,766
2020-04-22,742
2020-04-23,1022
2020-04-24,2044
2020-04-25,120
2020-04-26,578
2020-04-27,618
2020-04-28,626
2020-04-29,54
2020-04-30,528
2020-05-01,171
2020-05-02,126
2020-05-03,729
2020-05-04,942
2020-05-05,951
2020-05-06,405
2020-05-07,1920
2020-05-08,2961
2020-05-09,276
2020-05-10,936
2020-05-11,813
2020-05-12,1221
2020-05-13,93
2020-05-14,918
2020-05-15,3327
2020-05-16,1275
2020-05-17,6057
2020-05-18,3882
2020-05-19,1866
2020-05-20,1626
2020-05-21,906
2020-05-22,780
2020-05-23,819
2020-05-24,318
2020-05-25,1701
2020-05-26,1218
2020-05-27,2046
2020-05-28,5559
2020-05-29,6
2020-05-30,879
2020-05-31,582
2020-06-01,1278
2020-06-02,360
2020-06-03,246
2020-06-04,14824
2020-06-05,12326
2020-06-06,2321
2020-06-07,2639
2020-06-08,4256
2020-06-09,2886
2020-06-10,7047
2020-06-11,4397
2020-06-12,7086
2020-06-13,3096
2020-06-14,6837
2020-06-15,8522
2020-06-16,11404
2020-06-17,7076
2020-06-18,7824
2020-06-19,11055
2020-06-20,5073
2020-06-21,4452
2020-06-22,7464
2020-06-23,9135
2020-06-24,10626
2020-06-25,5154
2020-06-26,4623
2020-06-28,4164
2020-06-29,3774
2020-06-30,5799
2020-07-01,21429
2020-07-02,7728
2020-07-03,5220
2020-07-04,228
2020-07-05,2559
2020-07-06,6247
2020-07-07,3810
2020-07-08,8297
2020-07-09,4995
2020-07-10,6557
2020-07-11,570
2020-07-12,21258
2020-07-13,24297
2020-07-14,30072
2020-07-15,28316
2020-07-16,11346
2020-07-17,13686
2020-07-18,1206
2020-07-19,2004
2020-07-20,7965
2020-07-21,18855
2020-07-22,12993
2020-07-23,9240
2020-07-24,13097
2020-07-25,6113
2020-07-26,4950
2020-07-27,8259
2020-07-28,11939
2020-07-29,7160
2020-07-30,8379
2020-07-31,11232
2020-08-01,4164
2020-08-02,2613
2020-08-03,10056
2020-08-04,10008
2020-08-05,7482
2020-08-06,7899
2020-08-07,6408
2020-08-08,9681
2020-08-09,9509
2020-08-10,7330
2020-08-11,4378
2020-08-12,9549
2020-08-13,3931
2020-08-14,1803
2020-08-15,609
2020-08-16,666
2020-08-17,3291
2020-08-18,5385
2020-08-19,2643
2020-08-20,2223
2020-08-21,2040
2020-08-22,1260
2020-08-23,711
2020-08-24,4014
2020-08-25,2945
2020-08-26,921
2020-08-27,4578
2020-08-28,4404
2020-08-29,1920
2020-08-30,1938
2020-08-31,2625
2020-09-01,3069
2020-09-02,3693
2020-09-03,4061
2020-09-04,3255
2020-09-05,2343
2020-09-06,2670
2020-09-07,2700
2020-09-08,3840
2020-09-09,5667
2020-09-10,5047
2020-09-11,5463
2020-09-12,1724
2020-09-13,1260
2020-09-14,3369
2020-09-15,7425
2020-09-16,9185
2020-09-17,4028
2020-09-18,3513
2020-09-19,1353
2020-09-20,3587
2020-09-21,4143
2020-09-22,5211
2020-09-23,1797
2020-09-24,2463
2020-09-25,3891
2020-09-26,10959
2020-09-27,2127
2020-09-28,3813
2020-09-29,3576
2020-09-30,6669
2020-10-01,5911
2020-10-02,4621
2020-10-03,490
2020-10-04,3656
2020-10-05,4953
2020-10-06,5876
2020-10-07,5713
2020-10-08,5095
2020-10-09,7132
2020-10-10,423
2020-10-11,4524
2020-10-12,2803
2020-10-13,7963
2020-10-14,6367
2020-10-15,8487
