date,likes_count
2020-06-01,72
2020-06-02,6
2020-06-03,20
2020-06-04,360
2020-06-05,4
2020-06-06,0
2020-06-07,7
2020-06-08,82
2020-06-09,71
2020-06-10,13
2020-06-11,0
2020-06-12,20
2020-06-13,18
2020-06-14,30
2020-06-15,7
2020-06-16,167
2020-06-17,15
2020-06-18,15
2020-06-19,0
2020-06-20,0
2020-06-21,67
2020-06-22,12
2020-06-23,71
2020-06-24,12
2020-06-25,63
2020-06-26,9
2020-06-28,15
2020-06-29,23
2020-06-30,341
2020-07-01,11
2020-07-02,7
2020-07-03,10
2020-07-04,168
2020-07-05,9
2020-07-06,0
2020-07-07,0
2020-07-08,17
2020-07-09,234
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,7
2020-07-15,819
2020-07-16,502
2020-07-17,11
2020-07-18,10
2020-07-19,13
2020-07-20,0
2020-07-21,274
2020-07-22,136
2020-07-23,455
2020-07-24,122
2020-07-25,0
2020-07-26,15
2020-07-27,117
2020-07-28,400
2020-07-29,168
2020-07-30,101
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,18
2020-08-04,7
2020-08-05,145
2020-08-06,6
2020-08-07,127
2020-08-08,11
2020-08-09,13
2020-08-10,58
2020-08-11,277
2020-08-12,310
2020-08-13,78
2020-08-14,176
2020-08-15,282
2020-08-16,238
2020-08-17,8
2020-08-18,79
2020-08-19,171
2020-08-20,125
2020-08-21,5
2020-08-22,0
2020-08-23,8
2020-08-24,55
2020-08-25,272
2020-08-26,192
2020-08-27,118
2020-08-28,210
2020-08-29,0
2020-08-30,152
2020-08-31,0
2020-09-01,78
2020-09-02,508
2020-09-03,87
2020-09-04,360
2020-09-07,32
2020-09-08,154
2020-09-09,48
2020-09-10,208
2020-09-11,389
2020-09-12,7
2020-09-13,123
2020-09-14,268
2020-09-15,125
2020-09-16,714
2020-09-17,1048
2020-09-18,321
2020-09-19,9
2020-09-20,212
2020-09-21,105
2020-09-22,296
2020-09-23,522
2020-09-24,222
2020-09-25,48
2020-09-26,0
2020-09-27,19
2020-09-28,255
2020-09-29,366
2020-09-30,522
2020-10-01,225
2020-10-02,231
2020-10-03,3
2020-10-04,9
2020-10-05,35
2020-10-06,104
2020-10-07,400
2020-10-08,333
2020-10-09,311
2020-10-10,158
2020-10-11,293
2020-10-12,461
2020-10-13,1424
2020-10-14,586
2020-10-15,338
