date,number_of_tweets
2020-04-16,14
2020-04-17,6
2020-04-18,1
2020-04-19,2
2020-04-20,10
2020-04-21,9
2020-04-22,6
2020-04-23,4
2020-04-24,11
2020-04-25,12
2020-04-26,3
2020-04-27,7
2020-04-28,4
2020-04-29,16
2020-04-30,9
2020-05-01,4
2020-05-02,4
2020-05-03,3
2020-05-04,6
2020-05-05,5
2020-05-06,15
2020-05-07,5
2020-05-08,2
2020-05-09,4
2020-05-10,3
2020-05-11,16
2020-05-12,9
2020-05-13,24
2020-05-14,9
2020-05-15,22
2020-05-16,4
2020-05-17,2
2020-05-18,20
2020-05-19,19
2020-05-20,10
2020-05-21,9
2020-05-22,32
2020-05-23,3
2020-05-24,2
2020-05-25,13
2020-05-26,9
2020-05-27,32
2020-05-28,28
2020-05-29,26
2020-05-30,18
2020-05-31,2
2020-06-01,30
2020-06-02,93
2020-06-03,96
2020-06-04,168
2020-06-05,27
2020-06-06,27
2020-06-07,9
2020-06-08,36
2020-06-09,54
2020-06-10,9
2020-06-11,12
2020-06-12,36
2020-06-13,51
2020-06-14,21
2020-06-15,15
2020-06-16,12
2020-06-17,18
2020-06-18,3
2020-06-19,9
2020-06-20,6
2020-06-21,12
2020-06-22,30
2020-06-23,24
2020-06-24,9
2020-06-25,24
2020-06-26,6
2020-06-28,6
2020-06-29,6
2020-06-30,9
2020-07-01,27
2020-07-02,39
2020-07-03,15
2020-07-04,6
2020-07-05,6
2020-07-06,15
2020-07-07,12
2020-07-08,15
2020-07-09,33
2020-07-10,3
2020-07-13,6
2020-07-14,33
2020-07-15,9
2020-07-16,12
2020-07-17,12
2020-07-18,6
2020-07-19,33
2020-07-20,21
2020-07-21,60
2020-07-22,51
2020-07-23,18
2020-07-24,27
2020-07-25,6
2020-07-26,6
2020-07-27,21
2020-07-28,21
2020-07-29,18
2020-07-30,42
2020-07-31,27
2020-08-01,57
2020-08-02,3
2020-08-03,12
2020-08-04,15
2020-08-05,39
2020-08-06,48
2020-08-07,9
2020-08-08,42
2020-08-09,6
2020-08-10,21
2020-08-11,33
2020-08-12,36
2020-08-13,30
2020-08-14,48
2020-08-15,18
2020-08-16,3
2020-08-17,9
2020-08-18,42
2020-08-19,54
2020-08-20,30
2020-08-21,15
2020-08-22,9
2020-08-23,15
2020-08-24,51
2020-08-25,63
2020-08-26,51
2020-08-27,36
2020-08-28,36
2020-08-29,6
2020-08-30,12
2020-08-31,36
2020-09-01,114
2020-09-02,30
2020-09-03,51
2020-09-04,30
2020-09-05,66
2020-09-06,6
2020-09-07,63
2020-09-08,66
2020-09-09,81
2020-09-10,44
2020-09-11,40
2020-09-12,8
2020-09-13,36
2020-09-14,44
2020-09-15,40
2020-09-16,56
2020-09-17,140
2020-09-18,104
2020-09-19,48
2020-09-20,16
2020-09-21,40
2020-09-22,72
2020-09-23,112
2020-09-24,72
2020-09-25,32
2020-09-26,60
2020-09-27,8
2020-09-28,64
2020-09-29,48
2020-09-30,84
2020-10-01,87
2020-10-02,155
2020-10-04,10
2020-10-05,50
2020-10-06,115
2020-10-07,40
2020-10-08,85
2020-10-09,80
2020-10-10,80
2020-10-11,25
2020-10-12,100
2020-10-13,112
2020-10-14,101
2020-10-15,105
2020-10-16,6
